f,f_err
0.2329635499207607,0.021335578698578543
0.34548335974643424,0.027141762944472552
0.07448494453248812,0.0112621092775532
0.022187004754358162,0.005995146998580838
0.025356576862123614,0.00641901059913227
0.030110935023771792,0.007011152925414344
0.01901743264659271,0.005541815597132002
0.028526148969889066,0.006818903777305727
0.014263074484944533,0.004788143998007359
0.011093502377179081,0.004216142883214745
0.022187004754358162,0.005995146998580838
0.025356576862123614,0.00641901059913227
0.022187004754358162,0.005995146998580838
0.01584786053882726,0.005051088477332439
0.014263074484944533,0.004788143998007359
0.017432646592709985,0.005301756991302765
0.009508716323296355,0.003900329542217866
0.003169572107765452,0.002244774984439089
0.003169572107765452,0.002244774984439089
0.004754358161648178,0.0027514474171508583
